Usage_kWh,Lagging_Current_Reactive.Power_kVarh,Leading_Current_Reactive_Power_kVarh,CO2(tCO2),Lagging_Current_Power_Factor,Leading_Current_Power_Factor,NSM,Day_Of_Week,Year,Month,Day,Hour,Minute,WeekStatus_Weekend,Load_Type
3.64,4.46,0,0,63.23,100,4500,2,2018,3,20,1,15,0,0
2.52,4.43,0,0,49.44,100,85500,2,2018,9,4,23,45,0,0
3.28,3.92,0,0,64.17,100,0,0,2018,3,18,0,0,1,0
4.14,4.64,0,0,66.58,100,9900,6,2018,4,14,2,45,1,0
4.5,5.9,0,0,60.64,100,19800,5,2018,2,23,5,30,0,0
4.82,5.94,0,0,63.01,100,25200,0,2018,2,4,7,0,1,0
5.65,6.26,0,0,67,100,27900,5,2018,3,23,7,45,0,0
3.1,5,0,0,52.69,100,3600,6,2018,5,26,1,0,1,0
2.59,4.28,0,0,51.77,100,8100,2,2018,8,28,2,15,0,0
3.92,3.6,0,0,73.65,100,17100,3,2018,2,21,4,45,0,0
2.88,4.9,0,0,50.67,100,4500,3,2018,10,10,1,15,0,0
3.06,2.16,0.11,0,81.7,99.94,900,1,2018,12,10,0,15,0,0
2.88,5.18,0,0,48.59,100,24300,2,2018,8,21,6,45,0,0
3.64,6.7,0,0,47.74,100,85500,2,2018,10,16,23,45,0,0
3.02,4.5,0,0,55.73,100,26100,6,2018,7,7,7,15,1,0
3.17,2.92,0,0,73.55,100,6300,0,2018,3,11,1,45,1,0
3.06,3.49,0,0,65.93,100,20700,1,2018,3,19,5,45,0,0
3.78,4.39,0,0,65.25,100,85500,6,2018,2,17,23,45,1,0
3.38,3.28,0,0,71.76,100,22500,1,2018,11,26,6,15,0,0
3.35,4.46,0,0,60.06,100,26100,1,2018,1,8,7,15,0,0
3.1,2.84,0,0,73.74,100,1800,0,2018,3,11,0,30,1,0
3.42,3.1,0,0,74.09,100,15300,6,2018,3,3,4,15,1,0
3.06,5.65,0,0,47.62,100,2700,5,2018,6,22,0,45,0,0
2.81,4.97,0,0,49.22,100,900,1,2018,10,22,0,15,0,0
38.38,28.84,0,0.02,79.94,100,11700,0,2018,1,21,3,15,1,0
3.46,4.68,0,0,59.45,100,900,6,2018,6,9,0,15,1,0
3.96,4.21,0,0,68.51,100,27900,3,2018,8,22,7,45,0,0
2.99,3.28,0,0,67.37,100,30600,0,2018,3,18,8,30,1,0
5.94,5.47,0,0,73.56,100,0,2,2018,2,27,0,0,0,0
3.17,4.39,0,0,58.54,100,84600,0,2018,2,18,23,30,1,0
2.74,5.51,0,0,44.53,100,29700,0,2018,8,5,8,15,1,0
3.31,6.48,0,0,45.49,100,85500,3,2018,9,12,23,45,0,0
3.67,3.49,0,0,72.47,100,6300,4,2018,5,3,1,45,0,0
2.74,5,0,0,48.06,100,7200,4,2018,8,9,2,0,0,0
3.64,4.43,0,0,63.49,100,8100,3,2018,4,4,2,15,0,0
4.68,6.41,0,0,58.97,100,4500,3,2018,11,7,1,15,0,0
100.33,63.94,0,0.05,84.33,100,31500,6,2018,7,7,8,45,1,0
27.65,17.17,0.11,0.01,84.95,100,29700,3,2018,12,5,8,15,0,0
